product_id,product_name,main_category,rating_num,rating_count_num,review_length_chars,vader_negative_score,vader_neutral_score,vader_positive_score,vader_compound_score,vader_sentiment_label,baseline_sentiment_score,baseline_sentiment_label,dominant_topic,label_agreement,vader_strength
B07WMS7TWB,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. 1500 Watt (Silver)",Home&Kitchen,3.9,123365.0,3811,0.068,0.831,0.101,0.9681,positive,0.0856705873756238,neutral,Charging & Power,False,0.9681
B08FB2LNSZ,"JBL Tune 215BT, 16 Hrs Playtime with Quick Charge, in Ear Bluetooth Wireless Earphones with Mic, 12.5mm Premium Earbuds with Pure Bass, BT 5.0, Dual Pairing, Type C & Voice Assistant Support (Black)",Electronics,3.7,87798.0,2059,0.161,0.695,0.144,-0.1973,negative,1.1908007519598598,positive,Charging & Power,False,0.1973
B0BD3T6Z1D,"Samsung Galaxy M32 Prime Edition (Light Blue, 4GB RAM, 64GB)",Electronics,4.1,56098.0,5470,0.057,0.807,0.136,0.9979,positive,0.0,neutral,Compatibility & Usability,False,0.9979
B09CYTJV3N,"MI 360° Home Security Wireless Camera 2K Pro with Bluetooth Gateway BLE 4.2 l Dual Band Wi-fi Connection l 3 Million 1296p| Full Color in Low-Light | AI Human Detection, White",Electronics,4.3,44696.0,3628,0.078,0.798,0.124,0.9842,positive,0.0890870806374748,neutral,Compatibility & Usability,False,0.9842
B0756K5DYZ,Prestige Iris 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar (White and Blue),Home&Kitchen,3.9,43070.0,451,0.066,0.877,0.057,-0.1465,negative,0.3810003810005715,positive,Compatibility & Usability,False,0.1465
B082T6GVG9,"AmazonBasics New Release ABS USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad Tablet (3-Ft, White)",Computers&Accessories,4.2,42301.0,280,0.167,0.742,0.091,-0.6181,negative,0.4803844614152613,positive,Charging & Power,False,0.6181
B00N3XLDW0,ENVIE ECR-20 Charger for AA & AAA Rechargeable Batteries,Electronics,3.8,40895.0,1055,0.083,0.873,0.044,-0.81,negative,0.1649572197684645,positive,Charging & Power,False,0.81
B08HF4W2CT,"URBN 20000 mAh lithium_polymer Power Bank with 12 Watt Fast Charging, Camo",Electronics,4.0,36384.0,420,0.129,0.769,0.103,-0.4467,negative,0.0,neutral,Charging & Power,False,0.4467
B07X963JNS,"URBN 10000 mAh Lithium Power Bank UPR10K with 12 Watt Fast Charging, Blue",Electronics,4.0,36384.0,420,0.129,0.769,0.103,-0.4467,negative,0.0,neutral,Charging & Power,False,0.4467
B01HJI0FS2,"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.",Computers&Accessories,4.5,33176.0,916,0.11,0.816,0.073,-0.838,negative,0.659828879073858,positive,Compatibility & Usability,False,0.838
B07VNFP3C2,"Prestige 1.5 Litre Kettle 1500-watts, Red",Home&Kitchen,3.9,31783.0,1129,0.119,0.781,0.1,-0.4497,negative,-0.079555728417573,neutral,Product Quality & Durability,False,0.4497
B09RKFBCV7,"Fire-Boltt Ninja Calling 1.69"" Bluetooth Calling Smart Watch, Dial Pad, Speaker, AI Voice Assistant with 450 NITS Peak Brightness, Wrist Gaming & 100+ Watch Faces with SpO2, HR, Multiple Sports Mode",Electronics,4.2,31305.0,1186,0.151,0.752,0.097,-0.9273,negative,0.6652991438591156,positive,Product Quality & Durability,False,0.9273
B08CFCK6CW,"Boult Audio Truebuds with 30H Playtime, IPX7 Waterproof, Lightning Boult™ Type C Fast Charging (10 Min=100Mins), BoomX™ Tech Rich Bass, Pro+ Calling HD Mic, Touch Controls in Ear Earbuds TWS (Grey)",Electronics,3.6,25910.0,754,0.038,0.876,0.086,0.7308,positive,0.0940720868383597,neutral,Delivery & Packaging,False,0.7308
B07JF9B592,MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black),MusicalInstruments,3.8,20218.0,3588,0.028,0.822,0.15,0.998,positive,-0.131432386301497,negative,Product Quality & Durability,False,0.998
B07YC8JHMB,"Aquasure From Aquaguard Amaze RO+UV+MTDS,7L storage water purifier,suitable for borewell,tanker,municipal water (Grey) from Eureka Forbes",Home&Kitchen,3.9,18497.0,2392,0.087,0.792,0.121,0.926,positive,-0.1072112534837794,neutral,Product Quality & Durability,False,0.926
B07KR5P3YD,Zebronics Wired Keyboard and Mouse Combo with 104 Keys and a USB Mouse with 1200 DPI - JUDWAA 750,Computers&Accessories,3.9,17348.0,603,0.052,0.905,0.043,-0.2263,negative,0.6396021490668313,positive,Price & Value,False,0.2263
B088ZTJT2R,Havells Immersion HB15 1500 Watt (White Blue),Home&Kitchen,4.2,17218.0,5432,0.085,0.828,0.087,0.5014,positive,-0.0357828133482256,neutral,Price & Value,False,0.5014
B00EYW1U68,TP-Link TL-WA855RE 300 Mbps Wi-Fi Range Extender (White),Computers&Accessories,4.2,16182.0,2513,0.058,0.824,0.118,0.9846,positive,0.1070575455144378,neutral,Compatibility & Usability,False,0.9846
B09YLWT89W,"Sure From Aquaguard Delight NXT RO+UV+UF+Taste Adjuster(MTDS),6L water purifier,8 stages purification,Suitable for borewell,tanker,municipal water(Black) from Eureka Forbes",Home&Kitchen,4.0,16020.0,9109,0.079,0.827,0.094,0.9792,positive,-0.200904052275602,negative,Delivery & Packaging,False,0.9792
B016XVRKZM,"APC Back-UPS BX600C-IN 600VA / 360W, 230V, UPS System, an Ideal Power Backup & Protection for Home Office, Desktop PC & Home Electronics",Computers&Accessories,3.9,15783.0,10639,0.047,0.889,0.063,0.9788,positive,0.026640630772354,neutral,Charging & Power,False,0.9788
